OBJECTID *,Shape *,GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
1,Point,{905EAB8E-C32F-456C-BDD0-2124254C30E9},NPL,Nepal,CENTRAL,BAGMATI,SINDHUPALCHOK,SIKHARPUR,NA,NA,85.591664,27.811286,85.591664,27.811286,0,Not applicable,L,8.918749,0,8.918749,2558,2750,2685,2424,1955,286.811522,308.339205,301.051187,271.786993,219.201144,2574.947691,1327.644636,1247.303055,234.999126,318.353517,333.417564,273.161377,206.879573,189.806987,159.678893,167.713052,145.619117,114.486754,115.491024,84.358661,76.324503,154.657545,64.273265,90.384279,43.1836,47.200679,0,0,0,0,117.499563,156.666084,156.666084,137.584959,112.478214,113.482484,97.414168,86.3672,73.311693,54.230568,65.277535,36.153712,39.166521,81.345851,32.136633,49.209219,22.093935,27.115284,0,0,0,0,117.499563,161.687433,176.75148,135.576419,94.401358,76.324503,62.264726,81.345851,72.307423,60.256186,50.213489,48.204949,37.157981,73.311693,32.136633,41.175061,21.089665,20.085395,0,0,0,0
2,Point,{4AD19883-D6AC-471A-AE4B-795692BB8B16},NPL,Nepal,EASTERN,KOSHI,BHOJPUR,TIMMA,NA,NA,86.998228,27.274823,86.998228,27.274823,0,Not applicable,L,50.493978,0,50.493978,2370,2383,2175,1835,1383,46.93629,47.193746,43.074443,36.340967,27.389405,2085.096061,1132.607085,952.488977,165.871478,221.840381,291.038298,255.421723,148.571999,107.867341,73.268383,95.655944,107.867341,130.254903,121.096355,130.254903,74.285999,161.801012,52.916054,108.884958,43.757506,65.127451,0,0,0,0,82.426931,111.937807,136.360601,133.307752,96.673561,75.303616,42.73989,58.004136,63.092219,76.321232,65.127451,69.197917,33.581342,88.532629,33.581342,54.951287,22.387561,32.563726,0,0,0,0,83.444547,109.902574,154.677697,122.113971,51.898438,32.563726,30.528493,37.651808,44.775123,53.933671,55.968904,61.056986,40.704657,73.268383,19.334712,53.933671,21.369945,32.563726,0,0,0,0
3,Point,{1D2CAEAD-1559-4785-A41A-ED32979298C4},NPL,Nepal,EASTERN,KOSHI,SUNSARI,JALPAPUR,NA,NA,87.133884,26.550293,87.133884,26.550293,0,Not applicable,L,5.919194,0,5.919194,797,2249,5764,13659,28927,134.646707,379.950369,973.781203,2307.577628,4886.982798,5527.282992,2821.555889,2705.727103,728.304739,912.464176,794.135488,534.978996,454.982137,433.316321,317.487535,275.822504,244.157081,223.324565,187.492639,139.161203,123.328491,158.327117,78.330258,79.996859,49.164736,30.832123,0,0,0,0,384.151584,473.31475,386.651486,244.157081,239.157277,243.32378,176.659731,138.327902,134.9947,113.328884,86.663264,66.664049,59.164344,74.997056,34.998626,39.99843,19.999215,19.999215,0,0,0,0,344.153155,439.149425,407.484002,290.821915,215.82486,189.992541,140.827804,137.494602,109.162381,109.995681,100.829375,72.497154,64.164148,83.330062,43.331632,39.99843,29.165522,10.832908,0,0,0,0
4,Point,{2E22CC50-94DD-4146-A1FE-E1950F741FAC},NPL,Nepal,WESTERN,GANDAKI,SYANGJA,JAGATRADEVI,NA,NA,83.652888,27.93777,83.652888,27.93777,0,Not applicable,L,15.278553,0,15.278553,4330,4596,4430,3946,3142,283.40381,300.813837,289.948933,258.27054,205.647753,4247.484763,2392.157731,1855.327032,418.426919,514.755418,625.131823,521.779371,315.074466,253.865732,197.674108,202.691217,161.550921,178.609092,196.670686,156.533811,176.602249,328.118951,123.42089,204.698061,108.369562,96.328499,0,0,0,0,226.773342,249.852045,308.050513,273.93417,217.742545,177.60567,130.444843,140.479061,102.34903,121.414046,113.386671,90.307968,93.318234,146.499593,58.198468,88.301124,47.160828,41.140297,0,0,0,0,191.653577,264.903373,317.08131,247.845201,97.331921,76.260062,67.229265,62.212156,59.20189,57.195046,83.284015,66.225843,83.284015,181.619358,65.222421,116.396937,61.208734,55.188203,0,0,0,0
5,Point,{59F56555-702D-4F05-9FC8-37562C95D513},NPL,Nepal,CENTRAL,BAGMATI,SINDHUPALCHOK,JYAMIRE,NA,NA,85.610189,27.844468,85.610189,27.844468,0,Not applicable,L,19.836149,0,19.836149,3364,3617,3532,3187,2571,169.589367,182.343859,178.058753,160.666264,129.61185,3386.397665,1908.112563,1478.285102,298.268122,362.541387,479.03668,383.631052,262.11441,226.964968,173.73867,205.875303,192.819796,163.695973,161.687433,110.469675,118.503833,247.050363,97.414168,149.636196,76.324503,73.311693,0,0,0,0,147.627656,181.772828,265.127219,223.952159,161.687433,153.653275,108.461135,128.546531,110.469675,96.409898,85.36293,57.243377,60.256186,127.542261,44.18787,83.354391,45.19214,38.162251,0,0,0,0,150.640466,180.768559,213.909461,159.678893,100.426977,73.311693,65.277535,77.328772,82.350121,67.286075,76.324503,53.226298,58.247647,119.508103,53.226298,66.281805,31.132363,35.149442,0,0,0,0
6,Point,{3694C6CE-76E3-4A15-80C7-B93BA6EA7A8F},NPL,Nepal,MID-WESTERN,BHERI,BANKE,BINAUNA,NA,NA,81.827484,28.045039,81.827484,28.045039,0,Not applicable,L,46.57845,0,46.57845,5815,6958,7559,7590,6812,124.843141,149.382386,162.285348,162.950892,146.247889,7247.647197,3774.074877,3473.57232,717.647554,942.035976,1028.035063,889.645728,673.165267,600.016619,446.799854,442.845873,341.030862,308.410519,179.906136,210.549489,172.986669,294.571585,133.446859,161.124726,86.987582,74.137144,0,0,0,0,359.812272,466.56976,505.121074,494.247627,414.179511,336.088386,242.181337,216.48046,172.986669,144.320307,90.941563,103.792002,90.941563,136.412345,59.309715,77.10263,43.493791,33.608839,0,0,0,0,357.835282,475.466217,522.913989,395.398101,258.985756,263.928233,204.618517,226.365413,168.044193,164.090212,88.964573,106.757487,82.045106,158.159241,74.137144,84.022097,43.493791,40.528305,0,0,0,0
7,Point,{3600B018-C6D3-4EEB-A33F-978BCC80E59E},NPL,Nepal,WESTERN,LUMBINI,GULMI,GWAGHA,NA,NA,83.480892,28.097976,83.480892,28.097976,0,Not applicable,L,16.801745,0,16.801745,2545,2622,2453,2121,1640,151.472361,156.055218,145.996739,126.236887,97.608908,2352.058066,1353.266556,998.79151,211.069187,283.782017,371.643353,290.851319,159.564266,127.247452,115.128647,114.118747,99.980141,87.861336,97.96034,104.019743,85.841535,202.989983,80.792033,122.19795,60.594025,61.603925,0,0,0,0,98.970241,152.494963,207.029585,160.574166,100.990041,89.881137,87.861336,83.821734,61.603925,57.564324,58.574224,53.524722,48.47522,91.900938,41.405917,50.495021,25.24751,25.24751,0,0,0,0,112.098946,131.287054,164.613768,130.277153,58.574224,37.366315,27.267311,30.297012,38.376216,30.297012,39.386116,50.495021,37.366315,111.089046,39.386116,71.702929,35.346515,36.356415,0,0,0,0
8,Point,{2EB54AC1-074D-49CF-9D94-1A3E2C8DE9AF},NPL,Nepal,MID-WESTERN,BHERI,BARDIYA,BANIYABHAR,NA,NA,81.348859,28.366482,81.348859,28.366482,0,Not applicable,L,73.648093,0,73.648093,16142,18071,18369,17259,14494,219.177433,245.369557,249.415826,234.344153,196.800751,17613.31055,9075.606403,8537.704147,1696.384338,1951.389852,2378.723311,2313.975818,1751.170679,1574.858273,1114.653009,1078.792859,944.317295,764.020427,490.088722,484.112031,430.321805,640.502131,321.745239,318.756893,177.308522,141.448371,0,0,0,0,830.760151,988.146367,1187.369425,1243.151881,988.146367,856.659149,552.843986,572.766291,490.088722,357.605389,246.040477,245.044361,218.149248,298.834587,156.3901,142.444486,77.696993,64.747494,0,0,0,0,865.624187,963.243485,1191.353886,1070.823936,763.024312,718.199124,561.809023,506.026567,454.228572,406.415038,244.048246,239.067669,212.172557,341.667544,165.355138,176.312406,99.611529,76.700877,0,0,0,0
9,Point,{532D8999-401E-4F97-B624-810BA333E839},NPL,Nepal,EASTERN,SAGARMATHA,UDAYAPUR,HADIYA,NA,NA,86.828212,26.77984,86.828212,26.77984,0,Not applicable,L,79.977455,0,79.977455,10455,11646,11779,11012,9202,130.72434,145.616037,147.279005,137.688803,115.057425,11294.51782,6192.996135,5101.521684,1128.355324,1377.550404,1551.98696,1283.853054,929.99604,719.675392,621.99092,627.971602,590.09395,483.438456,490.415918,400.705689,363.824817,724.659293,290.063073,434.59622,185.40114,249.19508,0,0,0,0,571.155124,680.800959,768.517628,717.681831,634.949065,475.464213,384.757204,367.811939,331.927847,258.166103,252.185421,199.356064,196.365723,353.857014,141.542806,212.314208,89.710229,122.60398,0,0,0,0,557.2002,696.749445,783.469332,566.171222,295.046975,244.211179,237.233716,260.159664,258.166103,225.272353,238.230497,201.349625,167.459094,370.802279,148.520268,222.282012,95.690911,126.591101,0,0,0,0
10,Point,{C001BE4B-8512-420A-AF70-4FC6B4B8269B},NPL,Nepal,CENTRAL,BAGMATI,KATHMANDU,THANKOT,NA,NA,85.210323,27.690013,85.210323,27.690013,0,Not applicable,L,6.170992,0,6.170992,2367,5373,11075,21100,35930,383.568806,870.686606,1794.687169,3419.22341,5822.402707,10619.29854,5236.926426,5382.372118,795.984609,922.919032,1011.949425,1232.321687,1327.522504,1126.543002,902.644784,772.184405,629.383179,526.248961,413.418363,254.750334,230.95013,472.478129,162.193985,310.284144,133.986335,176.297809,0,0,0,0,377.277312,440.744523,480.41153,564.15299,695.494858,587.071705,450.440903,381.684757,312.047122,260.920758,195.690568,112.830598,122.526977,255.631824,93.437839,162.193985,72.282102,89.911883,0,0,0,0,418.707297,482.174508,531.537895,668.168697,632.027646,539.471297,452.203881,390.499648,317.336057,265.328203,217.727795,141.919736,108.423153,216.846305,68.756146,148.09016,61.704233,86.385927,0,0,0,0
