,index,district,district_gps,route,route_open,lat,long
1,2,bhaktapur,"[85.4384216, 27.6742108]",{},{},85.3374784,27.5481484
2,3,lalitpur,"[85.3374784, 27.5481484]",{},{},85.3770973,27.6940775
3,5,kathmandu,"[85.3770973, 27.6940775]",{},{},81.3043239,29.0673399
4,6,achham,"[81.3043239, 29.0673399]",{},{},85.633944,27.5453606
5,9,kavrepalanchok,"[85.633944, 27.5453606]",{},{},84.8082601,28.2735626
6,16,gorkha,"[84.8082601, 28.2735626]",{},{},85.2428418,27.9259028
7,18,nuwakot,"[85.2428418, 27.9259028]",{},{},87.9128828,26.583566
8,19,jhapa,"[87.9128828, 26.583566]",{},{},87.4646196,26.6105809
9,20,morang,"[87.4646196, 26.6105809]",{},{},87.1288284,26.6411195
10,23,sunsari,"[87.1288284, 26.6411195]",{},{},86.7527504,26.6070747
11,24,saptari,"[86.7527504, 26.6070747]",{},{},81.1560386,29.7224858
12,26,bajhang,"[81.1560386, 29.7224858]",{},{},81.4889304,29.6105644
13,27,bajura,"[81.4889304, 29.6105644]",{},{},84.3578644,27.6185054
14,28,chitwan,"[84.3578644, 27.6185054]",{},{},85.0685065,27.1074125
15,30,bara,"[85.0685065, 27.1074125]",{},{},81.5107108,28.6580036
16,31,surkhet,"[81.5107108, 28.6580036]",{},{},82.4089274,27.9679321
17,34,dang,"[82.4089274, 27.9679321]",{},{},83.0393924,27.9321036
18,35,arghakhanchi,"[83.0393924, 27.9321036]",{},{},85.0870723,27.4364975
19,37,makwanpur,"[85.0870723, 27.4364975]",{},{},85.3337195,26.9889552
20,41,rautahat,"[85.3337195, 26.9889552]",{},{},84.2479008,27.9354068
21,47,tanahun,"[84.2479008, 27.9354068]",{},{},,
22,48,nawalparasi,,{},{},82.6533607,28.3259506
23,54,rolpa,"[82.6533607, 28.3259506]",{},{},82.200066,28.8697436
24,57,jajarkot,"[82.200066, 28.8697436]",{},{},82.090553,28.3980492
25,58,salyan,"[82.090553, 28.3980492]",{},{},82.2958329,29.6788869
26,60,mugu,"[82.2958329, 29.6788869]",{},{},81.4133994,28.3713967
27,62,bardiya,"[81.4133994, 28.3713967]",{},{},82.6677327,28.7337613
28,64,rukum,"[82.6677327, 28.7337613]",{},{},80.8772775,28.731611
29,65,kailali,"[80.8772775, 28.731611]",{},{},83.0362575,29.2146555
30,68,dolpa,"[83.0362575, 29.2146555]",{},{},80.4847698,29.2094929
31,69,dadeldhura,"[80.4847698, 29.2094929]",{},{},81.8464368,28.0958932
32,73,banke,"[81.8464368, 28.0958932]",{},{},80.3079358,28.8440136
33,74,kanchanpur,"[80.3079358, 28.8440136]",{},{},81.7423351,29.2163921
34,87,kalikot,"[81.7423351, 29.2163921]",{},{},80.7368343,29.9157491
35,89,darchula,"[80.7368343, 29.9157491]",{},{},87.0850956,27.1750716
36,114,bhojpur,"[87.0850956, 27.1750716]",{},{},85.9050703,27.1852006
37,122,sindhuli,"[85.9050703, 27.1852006]",{},{},83.8653565,28.9475563
38,128,mustang,"[83.8653565, 28.9475563]",{},{},84.9444701,28.0074015
39,133,dhading,"[84.9444701, 28.0074015]",{},{},86.7056925,27.1558445
40,137,khotang,"[86.7056925, 27.1558445]",{},{},86.1851405,27.5369578
41,138,ramechhap,"[86.1851405, 27.5369578]",{},{},,
42,139,sindhupalchok,,{},{},84.4409796,28.282853
43,143,lamjung,"[84.4409796, 28.282853]",{},{},86.4450332,27.3362505
44,148,okhaldhunga,"[86.4450332, 27.3362505]",{},{},85.4599628,28.1755299
45,152,rasuwa,"[85.4599628, 28.1755299]",{},{},86.3430662,26.7426896
46,154,siraha,"[86.3430662, 26.7426896]",{},{},86.6618668,26.9332144
47,157,udayapur,"[86.6618668, 26.9332144]",{},{},87.3078515,27.5469996
48,158,sankhuwasabha,"[87.3078515, 27.5469996]",{},{},85.5686414,26.9686381
49,163,sarlahi,"[85.5686414, 26.9686381]",{},{},84.7288031,27.2238657
50,164,parsa,"[84.7288031, 27.2238657]",{},{},87.8920931,26.8854083
51,175,ilam,"[87.8920931, 26.8854083]",{},{},87.3641482,27.0180623
52,207,dhankuta,"[87.3641482, 27.0180623]",{},{},87.5716744,27.1326469
53,219,tehrathum,"[87.5716744, 27.1326469]",{},{},87.8229144,27.6106812
54,253,taplejung,"[87.8229144, 27.6106812]",{},{},83.4193221,27.5487254
55,256,rupandehi,"[83.4193221, 27.5487254]",{},{},82.9645517,27.6191814
56,258,kapilvastu,"[82.9645517, 27.6191814]",{},{},82.8428612,28.1201234
57,259,pyuthan,"[82.8428612, 28.1201234]",{},{},83.7355583,28.044466
58,267,syangja,"[83.7355583, 28.044466]",{},{},86.2194279,27.8238392
59,269,dolakha,"[86.2194279, 27.8238392]",{},{},81.6684779,28.8712672
60,321,dailekh,"[81.6684779, 28.8712672]",{},{},84.1793665,28.6727485
61,328,manang,"[84.1793665, 28.6727485]",{},{},83.3134977,28.0956828
62,330,gulmi,"[83.3134977, 28.0956828]",{},{},83.2747097,28.3564152
63,399,baglung,"[83.2747097, 28.3564152]",{},{},83.6908045,28.2023786
64,401,parbat,"[83.6908045, 28.2023786]",{},{},85.8107476,26.8851174
65,463,mahottari,"[85.8107476, 26.8851174]",{},{},82.2180123,29.2389195
66,572,jumla,"[82.2180123, 29.2389195]",{},{},86.6828408,27.7259732
67,628,solukhumbu,"[86.6828408, 27.7259732]",{},{},83.4850968,28.5456444
68,703,myagdi,"[83.4850968, 28.5456444]",{},{},83.9889603,28.3453359
69,706,kaski,"[83.9889603, 28.3453359]",{},{},83.6294856,27.8104231
70,855,palpa,"[83.6294856, 27.8104231]",{},{},87.7862579,27.149253
71,896,panchthar,"[87.7862579, 27.149253]",{},{},80.5753043,29.5084462
72,990,baitadi,"[80.5753043, 29.5084462]",{},{},80.8565024,29.1875254
73,1000,doti,"[80.8565024, 29.1875254]",{},{},,
